Hankija ettevote,Hanke nimetus,Hankemaksumus EUR
JV,"Tartu maakond. Tartu linn. Tartu ulikooli Delta oppehoone liitumine Narva mnt 18/20 (rajatis asub muinsuskaitsealuse objekti kaitsevoondis, rajatis asub osaliselt muinsuskaitse alusel objektil). LP4372/IL5049.",148056
NJ,Balti Elekrijaama turbiini nr 11 olemasoleva tehnilise seisundi inseneri- ja konsultatsiooniteenuste osutamine ja projektilahenduste realiseerimisvoimaluste majandus-tehniline analuus,148000
EE,Moxa vorguseadmete ja tarvikute hankimine,148000
EE,Procurement of solar inverters - TENDER DOCUMENTS,148000
EK,Sukrlpumpade INDAR remonditeenuse ostmine,148000
NJ,Raamlepingu solmimine projektdokumentatsiooni valjatootamise ja koostamise teenuse osutamiseks,148000
EE,Uuringu �Mehhaniseeritud laavakompleksist tuleneva maemassi rikastamise voimaluste rakendusuuring� teostamine,147954
EE,Uuringu �Mark�eideritoode kaugseiremeetodite abil efektiivistamise voimaluste rakendusuuring (sh katsetood)� teostamine,147923
EE,Rehvide ladustamise ja vahetamise hange,147882
EK,Allmaa lohkematerjalide veokite ostmine,147674
TO,Iru elektrijaama uute  kulumootjate ostmine ja olemasolevate asendamine,147556
EK,Puurpingi diiselmootorite ostmine,147526
TO,Aulepa tuulepargi Winwind 3MW tuulikutele trafode ostmine ,147171
NT,Poolkoksi tigukonveieri valmistamine,146520
NJ,Ventilatsiooni- ja konditsioneerimissustemide ohukanalite puhastamine. tehniline hooldus ja remont,146364
NJ,Eesti Elektrijaama ploki nr 6 vaavlipuhastuse kottfiltrite korpuste remont,145839
NJ,Polevkivi poleti varuosade ostmine,145436
EE,Plaatserverite hange,144804
NJ,Sulgemisarmatuuri KSB varuosade ostmine,144781
NJ,Eesti Elektrijaama pulbitorustikute keskkogumi tostmine ,144581
NJ,Polevkivi poletite varuosade ostmine,144501
NJ,Katla TP-101 talade. kangide ja nende varuosade ostmine,144111
EE,Atlassiani pluginate ning konsultatsiooni ja seadistuste hankimine,143604
EE,Eesti Energia elektroonilise dokumendihalduse susteemi EDHS arendustood,140600
NJ,�ahtveskite ja polevkivitoiturite varuosade ostmine,139890
EK,Puurpinkide diiselmootorite ostmine,139556
EK,Konveierkaalude ost Estonia kaevanduse laadimissolme konveieritele,139207
EK,Aheraine punkrite remont ,138824
EK,Ekskavaatori elektrijuhtimissusteemi komponentide ostmine,138605
EK,Pealmaa puurpinkide Ingersoll Rand DM45 ja Sandvik D45KS puurvarustuse ostmine,138484
NJ,Eesti elektrijaama ja Balti elektrijaama siseteede ja valisteede asfaltkatte remont.,138183
EE,Raamlepingute solmimine toostuslike gaaside ostmiseks,138045
NJ,Sulgemisarmatuuri Pentair varuosade ostmine,137733
NJ,Eesti elektrijaama energiaplokkide nr. 3. 4. 6 SCADA temperatuurikontrolli moderniseerimine,137340
TO,Uue mootesusteemi projekteerimine. ostmine ja Iru elektrijaama korstnas paikneva vastu valja vahetamine,136900
EK,Puitliiprite ja pooranguprusside ostmine,136887
TO,Ruhnu taastuvenergia lahenduse kaitamine,136024
EE,HPE 3PAR andmesalvestussusteemi toe pikendamine,135232
EK,Lohketraadi ostmine,135187
EK,Reduktorite ja nende varuosade ostmine,135179
NJ,Eesti elektrijaama ja Balti elektrijaama toostus-ja sadeveekanalisatsiooni ning olmekanalisatsiooni torustike ja kaevude seisukorra puhastamine ja uurimine,134989
EK,Kaevise tootlemise seadmete ja nende varuosade ostmine,134828
NJ,Tehnilise vedela alumiiniumsulfaadi ostmine,133718
EE,Microsoft SharePoint Online seadistamine ja arendus,133644
TO,Tehnoloogiliste seadmete ja rajatiste puhastusteenuse ostmine ,133201
EK,SRu-riikides valmistatud mootorite ja agregaatide remonditeenuse ostmine,133200
EK,Lohketraadi ostmine,133199
EK,Sammuvate ekskavaatorite kopa valudetailide ostmine,133156
NJ,Auvere elektrijaama kutuse etteandesusteemi perimeetri aia ja varavate projekteerimine ja ehitus,132608
EE,Iru elektrijaama poorlevate mehhanismide remonttood ,131720
JV,Tallinn. Mustamae tee 69 liitumine madalpingel (LP4953. TP0585),130368
EE,HCI (Hyper Converged Infrastructure) klastrite serverid,130305
JV,Viljandimaa. Pohja-Sakala vald. Lohavere kula. Suure-Jaani toostusala vorgu umberehitus (TP0587/IS3052),130100
NJ,Rektifikatsioonikolonni taldrikute valmistamine,129840
EK,Garaa�iuste hooldusteenuse ostmine,129648
NJ,Enefit Energiatootmise AS seadme ENEFIT 280 turboagregaadi SIEMENS SST-600 ja turbiini abiseadmete plaanilise remondi komplekstoode teostamine,129497
TO,Iru elektrijaama jaatmeenergiaplokile tarvikute. varuosade ja kulumaterjalide ostmine  ,129108
NJ,Kahe talakraana soetamine ja paigaldamine,128686
EK,Hudraulikaseadmete ostmine,127616
EK,Tookinnaste ostmine,127415
EK,Allmaa teleskooplaaduri ostmine,127355
EE,"Eesti energiamajandust ja -turgu kirjeldav ekspositsioon ""Meie energia lugu""",127317
EK,Pumpade ostmine,126909
EE,Milestone Systems videohaldussusteemi komponentide/litsentside tarne,126897
EE,Milestone Systems videohaldussusteemi komponentide/litsentside tarne,126897
EK,Inertssoelurite GISL62 ostmine,126836
NJ,Eesti elektrijaama ploki nr 8 ja Balti elektrijaama ploki nr 11 instrumentaal- ja toosuruohu seadmete ja tehnoloogiliste susteemide tehnohooldus ja remont ,126700
EK,Okaspuupalgi ostmine,126436
EE,Aulepa tuulepargi rikete likvideerimine veebruaris ja martsis 2017 ,125800
EE,Vertica litsentsitoe pikendus,125800
EE,Tootsi turbaalale rajatava tuulepargi teenindusteede ja kuivendussusteemi projekteerimine,125800
EK,Kamberploki lintkonveierite kaivitus- ja automaatikaseadmestiku ostmine,125100
NJ,Eesti elektrijaama korstna nr 1 suudme ja korstna osaline renoveerimine,125060
NJ,Eesti elektrijaama energiaploki nr 2 kuumavee varustuse soojendi uhendamine 6 ata kollektoriga. I etapp,124419
EE,Juhtimise votmeoskused ,124320
ER,Raamlepingute solmimine isikukaitsevahenditele,124283
NJ,Kuumakindlast terasest varuosade ostmine,124086
ER,Kaabel AXAL-TT 7/12kV.Ostmine,123724
EK,Mahalaadimissolme ja kutuseetteande seadmete ning varuosade ostmine,123675
EK,Kummitehniliste toodete ja kiilrihmade ostmine,123284
NJ,TLT-TURBO varuosade ostmine,122760
JV,Maardu linn. Karmu tee 11 el. liitumine. LP4183. IP2962.,122159
NJ,Balti elektrijaama ruumide. hoonete ja rajatiste ventilatsiooni- ja konditsioneerimissusteemide tehniline hooldus ja remont,121644
NJ,Eesti elektrijaama tuhalaos autotranspordi laadimisliinide puistematerjali kulumooturi paigaldamine,121449
NJ,Tuhavaljade bermi loikude ja teede remonditood ,121221
ER,Terastoodete ostmine,121166
JV,Viljandimaa. gaasi kompressorjaama el. liitumine KP. Viljandi vald. LP4981.,120681
EK,Viru kaevanduse ulevoolupuuraukude projekteerimine ja ehitus,120546
EK,Toitur-purustite loiketerade ostmine,119737
EE,Tarkvara Aris 9.8 versiooni juurutus. litsentsid. aastane tugi ja koolitamine,119226
EE,Toidukaupade ostmine Eesti Energia AS-i ja tema tutarettevotjate tarbeks,118400
EE,Keeleoppekursused 2018-2020,118400
EK,Maardemajanduse seadmete ja varuosade ostmine ,118400
EE,Konkurss biomassi muugilepingute solmimiseks,117690
NJ,Gaasiliste toodete arajuhtimissusteem 1.2 Enefit140 utmisjaoskonna hoone margil +21.00 m. reas,117485
NJ,Tuhavaljade bermi loikude ja teede remonditood,117216
EK,Sammuva ekskavaatori kopa valudetailide ostmine,117068
EK,Ankrukettide ostmine,116150
JV,Tartu maakond. Kambja vald. Soinaste kula. Jaani ja Tolga DP ala II etapi elektriliitumine (LP5123),116016
NJ,Eesti elektrijaama kutuse etteannete konveierkaalude asendamine,115541
NJ,Narva linnas eelisoleeritud torudest soojustrasside loikude rekonstrueerimine,115470
NJ,Eesti elektrijaama keemilise veepuhastuse selitite 3 katuserajatiste renoveerimine,115292
ER,Vanditrossi ostmine.,114700
NJ,Enefit Energiatootmine ASi liftide tehnohooldus ja remont ,114404
EK,Raudtee toppimis-ja rihtimistoode teenuse ostmine,113901
EK,Toostustarvikute ostmine,113680
EE,Hoonete hooldustood ja vaikeremondid vastavalt EVS 807:2010 nouetele,113461
EK,Allmaa tuulutustokete ehitus,112924
ER,Estonia Kaevanduse tuletorje-veetorustiku renoveerimine,112841
EK,Veduri liikumisparameetrite registreerimise elektroonsete komplekside ostmine,112447
TO,Iru elektrijaama kemikaalide ostmine,112201
NJ,Eesti elektrijaama 8. ploki soojusisolatsiooni valjavahetamine,112074
NJ,Toostuslike tostukite tehnohooldus,111781
EK,Elektrimootorite ostmine,111632
JV,Jogevamaa. Rassi tee 13. el.vorgu umberehitamine. Pajusi vald. TP0581. LP4928.,111157
NJ,Tootmisjaatmete kogumine ja valjavedu EnEnoT ASi territooriumilt,111000
NT,Tootmisjaatmete kogumine ja valjavedu EnEnoT ASi territooriumilt,111000
EE,Katelseadme Wartsila BioGrate sekundaarpolemiskambri osa uuendamine,110660
EK,Allmaa tehnilise abi furgoonauto ostmine,110073
EE,Thin Client arvutite hange,109520
NJ,Eesti Elektrijaama kutuse etteandeliini nr. 2 konveierite K � 4B ja K � 4? too- ja avariivalgustuse montaa�,109357
NJ,Soojusvahetite valmistamine,109331
NJ,Lintkonveieri trumlite ostmine ,108921
JV,Nova 110/10 kV alajaama maauhendusvoolu kompenseerimisseadme paigaldamine IK0960 ,108336
ER,Terastoodete ostmine,108269
NJ,Eesti elektrijaama katelde nr 3�6 liftide masinaruumide renoveerimine,108040
NJ,Reduktori ostmine,107729
NJ,Balti Elektrijaama vana masuudihoidla pinnase puhastamine,107325
EE,Jaatmekaitlus Enefit Kaevandused AS ettevottetes,107228
NJ,Eesti elektrijaama ja Balti elektrijaama Atlas Copco suruohu kruvikompressorite tehniline hooldus ja remont ,107165
NT,Unfixed Windows Supply,106664
EK,Soonurite URAL-33 loikehammaste ostmine,106616
JV,Saare maakond. Kesknomme kalakasvatus el. ehitustood. Kihelkonna vald. LP3929.,105902
EE,Paide koostootmisjaama kivikorstna remonttood,105376
JV,Tartumaa. Luunja vald. Povvatu kula. Hobunurme tee elamurajooni liitumine (LP4919. IL5483),105237
JV,Tartu. Tahe tn 10 elektrivarustus (LL2601.LL2844.TL0370.IL4055),104850
JV,Tallinn. Magasini 3j elektrivarustus (LP4606),104693
EK,Sotke jaama raudtee nr.5 kapitaalremonditeenuse ostmine,104660
TO,Kemikaalide ja soola ostmine,104000
EE,Andmemudeli hange,103913
NJ,Enefit 280 kutuseetteande purustite rootorite asendamine ,103778
EE,Iru elektrijaama jaatmeenergiaplokis poletatavate jaatmete tarne ,103748
EE,Trukiteenuse osutamine,103600
ER,Elektrikilpide ostmine ,103600
NJ,Polevkivioli veoteenused,103600
EK,Allmaa- ja pealmaatehnika tulekustutussusteemide hooldusteenuse ostmine,103452
NJ,Bensiinimahuti tooprojekti koostamine,103452
JV,Tallinn. Vesilennuki tn 1 elektrivarustus (LP4379. IP3205),103429
ER,Terastoodete ostmine,103347
ER,Terastoodete ostmine.,103281
EK,Ruumide remonditeenuse ostmine II,103162
EE,Konkurss biomassi muugilepingute solmimiseks,102823
NJ,Spiraalide ostmine,102416
NJ,Eesti elektrijaama akupatarei ja olitoostuse akupatarei asendamine,102164
EK,Elektriulekande 35 kV liinide hoolduse ja remondi teenuse ostmine,102120
NJ,Balti Elektrijaama akupatarei nr 3 asendamine,101879
EK,Soonurite URAL-33 loikehammaste ostmine,101373
EK,Paneelkonveieri kaivitus-ja automaatikaseadmestiku ostmine. ,101143
NT,"Krundisiseste teede ja platside remont
Enefit280. 140 ja mahutipargi territooriumil
 Eesti Energia olitoostus AS",100905
EK,uldkasutatavate terastrosside ostmine,100862
EK,Elektriharjade ja harjahoidikute ostmine,100388
EK,Tehnoloogilise punkrihoone ja galerii remont ,100343
NJ,Auru-gaasisegu tsukloni elektrilise auruulekuumendi paigaldamine,100014
NJ,Eesti Elektrijaama ploki nr 5 DSC-insenerijaama asendamine,99900
EK,Viivikonna tektoonilise rikke hudrogeoloogilise uuringu teenuse ostmine,99894
ER,Terastoodete ostmine.,99875
EE,Korgendatud tookindlusega toostuslike arvutite hange,99826
JV,Harjumaa. Kuuseheki t 50. el. liitumine mp. LP4753. LP5640. IP3573.,99490
EK,Konveierilintide jatkude liimimise ja veotrumlite kummeerimise teenuse ostmine,98746
ER,Pronkstorudetailide ostmine.,98641
ER,Terastoodete ostmine,98501
JV,Harjumaa. Harku vald. Suurupi kula. Suurupi tee L1 tanavavalgustuse liitumine elektrivorguga (LP5279),98288
NJ,Eesti Elektrijaama tsirkulatsioonipumpla 1 ja 2 ohkkuttesusteemi renoveerimine ,98065
NJ,Eesti elektrijaama ploki nr. 5 vaavlipuhastusseadmete kottfiltrite filtrikottide vahetamine,97933
JV,Tallinn. Miina Harma tn 14 spordikeskuse elektrivarustus (LP4568),97870
EE,Wonderware litsentside hankimine,97850
EK,Vasarpurustite valuterasest ja terasest sepistatud detailide ostmine,97606
ER,Elektrifiltri isoleerimistoode teostamine,97445
NJ,�ahtveskite ja polevkivitoiturite varuosade ostmine,96785
NJ,Eesti Elektrijaama plokkide nr 3-4. 5-6 ja 8 metallist suitsutorude ja gaasikaikude tehniline hooldus ja remont,96385
EK,Mootevahendite kalibreerimis- ja taatlemisteenuse ostmine,96200
EK,Raudtee spetsiaaltooriistade hooldus- ja remonditeenuse ostmine,96200
EK,Sooja aluspesu. kateratikute ja jalarattide ostmine,95980
NJ,Haamerpurusti DM-2A kapitaalremont ja rootori asendamine ,95601
JV,Tallinn. Nomme tee 3 el. liitumine. LP4825.,95559
EK,Pumpade varuosade ostmine,95144
EK,Okaspuupalgi ostmine,94945
ER,Veoautode ostmine,94720
EE,Soidukite hooldus- ja remonditood Ida-Virumaal: Narva linnas ja/voi Johvi linnas. ,94720
EK,Ekskavaatori elektrijuhtimissusteemi komponentide ostmine,94397
ER,Kaabel.Ostmine,94350
EE,Kahe 6-kohalise kaubiku ost,94022
EK,Allmaa mobiilsiide - 6/0.69 kV 63 kVA teisaldatavate komplektalajaamade ostmine ,93891
ER,Teraste ostmine.,93705
EK,Estonia kaevanduse madalpinge ja keskpinge seadmete hooldusteenus ja varuosade ostmine ,93702
NJ,Eraldusseina kinnitamine 11. ploki katelde karkassile,93684
NJ,TG-8 volli pooramisseade moderniseerimine,93580
TO,Iru elektrijaama aurukatla auruulekuumendi siugtorude vahetus,93551
EK,Kohttuulutuse ventilaatorite koos alusraamidega ostmine,93187
EE,Vorguseadmete ja tarvikute hankimine ,93178
EK,Killustiku ja polevkivi teisaldamise teenuse ostmine,92959
EK,Vasarpurusti SMD-98B rootori ostmine,91464
NJ,Siseteede ja platside remont Enefit-280 mahutipargis,91428
NJ,Siseteede ja platside remont Enefit-280 mahutipargis,91428
EE,Iru Elektrijaama jaatmeenergiaploki suitsugaasidest raskemetallide. dioksiinide ja furaanide mootmine,90882
EK,Gaasianalusaatorite ostmine,90855
NJ,Eesti elektrijaama tuhaarastussusteemi torustike ja maa-aluse kanali tuha- ja karbonaatsest ladestusest puhastamine,90623
EK,Tanklaseadmete hooldus- ja remonditeenuse ostmine202803,90280
ER,Polevkivioli bensiinifraktsiooni puhastusploki ehitustoode osutamine.,90081
ER,Raamlepingute solmimine pea- ja kehakaitsevahendite ostmiseks,90025
ER,Sildkraanade ostmine,89836
EK,Raudtee pealisehitismaterjalide ostmine,89798
JV,Harjumaa. Tallinn. Narva mnt 86. Narva mnt T16. Jaan Poska tn T4. Kesklinna LO. Narva mnt 86 elektrivarustus (LP4747),89740
EE,Enefit Energiatootmine AS-i objektide soojasolmede hooldu,89697
EK,Allmaa- ja pealmaatehnika tulekustutussusteemide hooldus- ja remonditeenuse ning varuosade ostmine,88800
EE,Inglise ja eesti keele koolitus vene keele baasil Narva linnas,88800
EK,Ohtlike jaatmete kaitlemisteenuse stmine,88800
EK,Alajaamade 35 kV seadmete hooldus- ja remonditoode teenuse ostmine,88800
TO,Iru elektrijaama jaatmeenergiaploki koldetuha lintkonveieri asendamine,88615
NT,Mahuti CETM puhastus EE olitoostus AS-i mahutipargis,87912
EK,Akude ostmine,87903
EE,Heitmete mootesusteemi seamete (SICK) hooldustood ,87823
JV,Tallinn. Tuukri 1b Korterelamu. I-sisend. el. liitumine. LP4187.,87635
NJ,Sulgearmatuuri ostmine,87548
EE,Intellektuaalomandi oiguskaitse alaste teenuste (kaubamark) ostmine Eesti Energia AS�i ja tema kontserni ettevotetele,87320
NJ,ulevoolutorude paigaldamine Balti elektrijaama keemilise veepuhastuse jaoskonna vaavelhappe ja leel,87205
EE,Wind farm road construction geotechnical studies,86580
NJ,Varuosade KSB ostmine,86106
EK,Terastorude ostmine,85779
JV,Tallinn. Purje t.3 el. liitumine mp. LP4204.,85604
EE,Iru elektrijaama seadmete remonttood ,85514
NJ,Enefit Energiatootmine AS-i TSK paigaldise nr 2 puroluusiploki solmede remont,85396
NJ,Tooroivaste ostmine,84844
EK,Estonia kaevanduse allmaa mobiilside kaablivorgu ehitus ,84384
ER,Teras- ja malmvaludetailide ostmine.,84227
EK,Diiselgeneraatorite ostmine,84212
TO,Iru elektrijaama olide ja maardeainete ostmine,83761
JV,Tallinn. Endla tn 43 elektrivarustus (LP4692),83664
JV,Tartu. Kalda tee 43 arihoone elektrivarustus (LP4912. IL5383),83563
NJ,Bensiinipuhastusploki seadmete ostmine,83218
EK,Allmaa elektrikilpide ostmine,82880
NJ,Kraapkettide ostmine,82868
EE,Iru elektrijaama ventilatsiooni- ja jahutusseadmete hooldus- ja remonttood ,82584
EE,"""Transporditeenuse (soitjate vedu) osutamine Narva-Auvere piirkonnas""",82584
NJ,Balti Elektrijaama taiendava kaugkuttekompleksi paigaldamine,82436
NJ,Turbiinijaoskonna armatuuri varuosade ostmine,82374
NJ,Eesti elektrijaama tuhavaljal ja Balti elektrijaama tuhavaljal nr 1. 2 teostatavad iga-aastased geodeesiatood,82318
ER,Seadme KVP varuosade ostmine,82270
NJ,Asfaltkatte rajamine ENEFIT 280 territooriumil,82134
ER,Terastoodete ostmine,82084
EK,Konveierite K-3 AB ja K-4 AB pealehtri ja rennide asendamine,81940
JV,Tallinn. arihoone Kitsaroopa tee 13. el. liitumine. LP4098. LP4693.,81916
ER,Teraste ostmine.,81872
JV,Tallinn. Mustamae linnaosa. Ehitajate tee 2 elektrivarustus madalpingel (LP5028),81752
JV,Jogevamaa Poltsamaa vald Vohma tee 9 Esku farmi ohuliinide asendamine maakaabliga TP0574,81685
EE,Iru elektrijaama toruarmatuuride remonttood ,81400
NT,Suruohu rihmajamiga kruvi-tuupi kompressorite Boge S-150 (110kW) grupi tehniline hooldus ja remont,80794
EK,Algmurde puurpinkide puurinstrumentide ostmine,80682
EK,Vaikevahendite varuosade ja remonditeenuse ostmine,80512
NJ,Amiini lahuse ettevalmistamise ja sailitamise seadmete paigaldamine BEJ plokkides nr. 11 ja 12,80505
TO,Iru elektrijaama katla puhastussusteemide hooldustood,80364
JV,Tallinn. C. R. Jakobsoni tn 13 elektrivarustus (LP5321),80270
NJ,Polevkivi kuivatusseadme TSK nr 1 solmede remont kapitaalremondi ajal ,80078
EK,Puurpeade ostmine,79920
EE,Fuusiliste serverite hange Milestone teenuse jaoks ,79920
NJ,Tsisternvagunite rent 2018,79920
NJ,Filtrielementide CJC ostmine,79908
ER,Terastoodete ostmine,79760
EE,SAP Business Object License support teenuse pikendamise hange,79707
JV,Harjumaa. Raasiku vald. Kalesi kula. Kesakuuni kinnistu liitumine elektrivorguga. Kesa AJ F2 rekonstrueerimine (LP5591/IP3561),79471
NJ,Iga-aastased geodeetilised tood Eesti Elektrijaama tuhavaljal ja Balti Elektrijaama tuhavaljadel nr 1. 2.,79328
JV,Rapla maakond. Kehtna vald. Keava alevik. Koogimae tee 7 kinnistu liitumine keskpingel (LP4911),79160
ER,Raamlepingute solmimine hingamiskaitsevahendite ostmiseks,79104
EE,Kontoritarvete ostmine Eesti Energia AS-i ja tema tutarettevotjate tarbeks,78924
EE,Soiduki taisteenusliisingu hange,78901
NJ,Lao nr 3 rekonstrueerimise tooprojekti koostamine,78862
EE,HCI klastri lahenduse hankimine,78692
JV,Harjumaa Laane-Harju vald Alliklepa kula pumbajaama ja sadamahoone liitumisuhenduse ja investeeringutood LP5339.IP3557,78542
